id,name,breeder,species,auto_flower,flower_time,image
43,"Auto Afghan Skunk",12,7,1,70,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Afghan_Skunk_thumb.jpg
44,"710 Mango",8,1,0,67,https://en.seedfinder.eu/pics/01seeds/710_Genetics/710_Genetics_-_710_Mango_thumb.jpg
45,"American Ghost",14,3,0,60,https://en.seedfinder.eu/pics/01seeds/AV3_Genetics/AV3_Genetics_-_American_Ghost_thumb.jpg
46,"Big White",18,1,0,56,https://en.seedfinder.eu/pics/01seeds/Accelerator_Seeds/Accelerator_Seeds_-_Big_White_thumb.jpg
47,"Apex Kush",11,3,0,70,https://en.seedfinder.eu/pics/01seeds/303_Seeds/303_Seeds_-_Apex_Kush_thumb.jpg
48,"Auto Oil",10,5,1,65,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Oil_thumb.jpg
49,Blueberry,5,1,0,49,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Blueberry_thumb.jpg
50,"Auto Amnesia",12,6,1,75,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Amnesia_thumb.jpg
51,Kultranusta,15,1,0,60,https://en.seedfinder.eu/pics/01seeds/Ape_Genetics/Ape_Genetics_-_Kultranusta_thumb.jpg
52,"Charm Dog",20,1,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Charm_Dog_thumb.jpg
53,STK#1,21,1,0,60,https://en.seedfinder.eu/pics/01seeds/Avalon_Garden/Avalon_Garden_-_STKNr1_thumb.jpg
54,"Cookies Jar",18,1,0,62,https://en.seedfinder.eu/pics/01seeds/Accelerator_Seeds/Accelerator_Seeds_-_Cookies_Jar_thumb.jpg
55,"Hawaiian Haze",6,2,0,84,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Hawaiian_Haze_thumb.jpg
56,"Auto Soviet",10,7,1,65,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Soviet_thumb.jpg
57,"Blood Kush F2",3,1,0,56,https://en.seedfinder.eu/pics/01seeds/207_Seeds/207_Seeds_-_Blood_Kush_F2_thumb.jpg
58,"Auto GDP",19,5,1,65,https://en.seedfinder.eu/pics/01seeds/Aurora_Winds_Botanical_Seeds/Aurora_Winds_Botanical_Seeds_-_Auto_GDP_thumb.jpg
59,"Cookie Confundo",20,3,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Cookie_Confundo_thumb.jpg
60,"Black Out",17,1,0,60,https://en.seedfinder.eu/pics/01seeds/Archive_Seed_Bank/Archive_Seed_Bank_-_Black_Out_thumb.jpg
61,"Haze #1",6,2,0,91,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Haze_Nr1_thumb.jpg
62,"Auto Stoned",10,7,1,70,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Stoned_thumb.jpg
63,"Auto Black Diesel",12,3,1,75,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Black_Diesel_thumb.jpg
64,Calipso,13,7,1,65,https://en.seedfinder.eu/pics/01seeds/Automaris/Automaris_-_Calipso_thumb.jpg
65,"Cookie Cutter",20,2,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Cookie_Cutter_thumb.jpg
66,"Auto 00 Cheese",2,7,1,65,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_00_Cheese_thumb.jpg
67,"CBD Blueberry",5,1,0,50,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_CBD_Blueberry_thumb.jpg
68,"Casper OG",17,1,0,70,https://en.seedfinder.eu/pics/01seeds/Archive_Seed_Bank/Archive_Seed_Bank_-_Casper_OG_thumb.jpg
