,name,keywords
349,White Prussian,Cinnamon Spicy Head Microbiological Body Pepper Exhilarating Lime Sour Nervous / Fidgety Pine Fruity Uplifting Sweet Herbs Acidic Appetizing Lemon Grass Aphrodisiac Citrus Earth Hashish Floral Energetic
350,Red Dwarf,Stress Spicy Head Meditativ Spacy / Confusedly Relaxing Microbiological Body Couch Lock Narcotic Sour Rot Sweet Calming Appetizing Light headed Sleepy Pain numbing Dizzy Lemon Grass Citrus
351,Northen Light x Skunk,Citrus Sour Appetizing Lemon Spicy Hashish Head Sugar Meditativ Honey Relaxing Sweet Pain numbing Calming Body Couch Lock
352,OG.Kush-LemonLarry ,Spicy Head Relaxing Body Thyme Couch Lock Exhilarating Sour Thought provoking Uplifting Sweet Herbs Calming Acidic Pain numbing Citrus Activate Sage Licorice
353,Afgan Kush Special,Spicy Head Spacy / Confusedly Relaxing Microbiological Body Couch Lock Narcotic Sour Rot Lemon Thought provoking Musky Sweet Calming Sleepy Pain numbing Citrus Earth Floral
354,Blue Mystic,Head Blueberry Meditativ Relaxing Body Exhilarating Narcotic Sour Fruity Uplifting Sweet Calming Acidic Appetizing Light headed Sleepy Pain numbing Dizzy Aphrodisiac Activate Berry Blackberry Floral Energetic
355,P.C.K.,Lilac Spicy Head Relaxing Body Narcotic Sour Maple Pine Fruity Sweet Calming Acidic Psychedelic Sleepy Pain numbing Sandalwood Aphrodisiac Hashish Tropical Berry Floral Nectar Cedarwood
356,Silver Kush,Cinnamon Spicy Head Relaxing Microbiological Body Couch Lock Pepper Narcotic Sour Thought provoking Pine Uplifting Sweet Herbs Calming Appetizing Psychedelic Sandalwood Earth Hashish
357,Laughing Buddha,Spicy Head Grapefruit Microbiological Body Pepper Lime Sour Strawberry Banana Fruity Mold Sweet Herbs Raspberry Hot Mint Citrus Tropical Berry
358,AK Automatic,Stress Spicy Head Meditativ Relaxing Body Sour Pine Uplifting Sweet Herbs Calming Acidic Appetizing Hot Light headed Pain numbing Sandalwood Aphrodisiac Bitter Activate Energetic
359,Auto Purple,Stress Spicy Head Meditativ Relaxing Body Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Thought provoking Uplifting Sweet Calming Appetizing Light headed Sleepy Racy Aphrodisiac Bitter Activate Hashish Energetic
360,Serious 6,Bubble Gum Spicy Head Relaxing Body Exhilarating Narcotic Sugar Thought provoking Uplifting Sweet Herbs Calming Appetizing Rose Racy Cherry Blossom Activate Sage Floral Energetic
361,Shiva Skunk,Bubble Gum Spicy Head Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Creeps Thought provoking Fruity Uplifting Sweet Calming Appetizing Psychedelic Paranoia Light headed Sleepy Pain numbing Honey Dizzy
362,Auto Soviet,Spicy Head Grapefruit Meditativ Relaxing Microbiological Body Couch Lock Narcotic Sour Thought provoking Pine Fruity Uplifting Sweet Calming Appetizing Sleepy Pain numbing Aphrodisiac Citrus Activate Earth Floral
363,Mendo Montage,Spicy Head Spacy / Confusedly Relaxing Microbiological Body Couch Lock Narcotic Fruity Sweet Organic Psychedelic Light headed Pain numbing Sweat Cocoa Bitter Earth Hashish Tropical Berry Coffee
364,AK-49,Spicy Head Microbiological Relaxing Body Energetic Exhilarating Sour Nervous / Fidgety Thought provoking Uplifting Sweet Herbs Calming Appetizing Psychedelic Pain numbing Sandalwood Wood Aphrodisiac Bitter Activate Earth Nuts
365,Purple OG #18,Head Meditativ Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Sour Rot Lemon Thought provoking Musky Fruity Uplifting Sweet Grape Appetizing Light headed Pain numbing Dizzy Citrus Earth Floral
366,Berry Pie,Lilac Spicy Head Meditativ Relaxing Peanut Body Couch Lock Narcotic Thought provoking Pine Fruity Uplifting Sweet Calming Peanutbutter Appetizing Rosted Nuts Bitter Hashish Tropical Berry Floral Nuts
367,Burmese Kush,Spicy Head Relaxing Microbiological Body Narcotic Sour Musky Sweet Calming Psychedelic Sleepy Pain numbing Sandalwood Citrus Activate Hashish Floral Licorice
368,DeepChunk S1,Spicy Head Meditativ Spacy / Confusedly Relaxing Microbiological Body Exhilarating Narcotic Chocolate Pine Fruity Uplifting Sweet Calming Sleepy Pain numbing Earth Hashish
369,2046,Cinnamon Spicy Cloves Curry Head Meditativ Body Pepper Fruity Uplifting Herbs Sweet Calming Psychedelic Hot Honey Activate Chili Mustard Floral
370,Jamaican Pearl,Uplifting Citrus Sour Activate Exhilarating Body Orange Blossom Energetic Tropical Head Thought provoking Floral Fruity Sweet Relaxing Lemon Grass Sweet Lemon
371,Purple Maroc,Spicy Head Relaxing Microbiological Body Couch Lock Lime Sour Lemon Thought provoking Fruity Uplifting Passion Fruit Herbs Kiwi Sweet Calming Appetizing Sleepy Wood Citrus Activate Earth Tropical
372,Liberty Haze,Bubble Gum Spicy Head Spacy / Confusedly Relaxing Microbiological Body Pepper Narcotic Sour Nervous / Fidgety Fruity Uplifting Sweet Herbs Calming Appetizing Psychedelic Sandalwood Activate Energetic
373,Very Berry,Narcotic Sour Strawberry Raspberry Head Berry Blackberry Blueberry Fruity Meditativ Sweet Calming Acidic Body Couch Lock
374,Magic Bud,Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Thought provoking Uplifting Sweet Calming Psychedelic Paranoia Sleepy Pain numbing Activate Floral Energetic Vanilla
375,Sweet Tooth,Spicy Head Meditativ Relaxing Body Couch Lock Pepper Exhilarating Sour Chocolate Sugar Thought provoking Uplifting Sweet Herbs Calming Acidic Appetizing Cookie Dough Pain numbing Bitter Activate Chemical Diesel
376,Automatic AK-47,Spicy Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Creeps Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Sleepy Racy Pain numbing Dizzy Aphrodisiac Activate Energetic
377,White Widow,Spicy Head Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Thought provoking Sweet Calming Sleepy Pain numbing Wood Activate Hashish Floral Energetic Vanilla
378,Skunk #1,Spicy Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Thought provoking Fruity Sweet Calming Acidic Appetizing Sleepy Pain numbing Activate Energetic
379,Sensi Skunk Automatic,Spicy Head Meditativ Relaxing Microbiological Body Couch Lock Exhilarating Sour Nervous / Fidgety Creeps Thought provoking Fruity Uplifting Sweet Herbs Calming Light headed Dizzy Sweat Citrus Activate Energetic
380,Motavation,Couch Lock Citrus Sour Psychedelic Nervous / Fidgety Appetizing Creeps Paranoia Sleepy Head Thought provoking Floral Fruity Pain numbing Sweet Calming Body Aphrodisiac
381,Orient Express,Spicy Head Meditativ Relaxing Body Sour Dairy Sugar Thought provoking Uplifting Sweet Calming Acidic Light headed Dizzy Bitter Citrus Activate Floral Whipped Cream Energetic
382,Royal Flush,Citrus Sour Activate Body Energetic Fresh Nuts Light headed Walnut Head Grapefruit Meditativ Hazelnut Relaxing Calming Lemon Grass Nuts Bitter
383,Jock Horror,Stress Spicy Head Meditativ Relaxing Body Couch Lock Exhilarating Thought provoking Uplifting Sweet Herbs Calming Appetizing Light headed Pain numbing Dizzy Aphrodisiac Activate Floral Energetic
384,K8,Uplifting Citrus Sour Activate Psychedelic Energetic Maple Herbs Spicy Relaxing Head Pine Sweet Microbiological Calming Sandalwood Body Bitter
385,Lemon Kobra,Tangerine Lime Citrus Sour Body Lemon Spicy Sleepy Head Orange Blood Orange Cedarwood Relaxing Calming Sandalwood Sweet Lemon Couch Lock
386,African Buzz,Pineapple Spicy Head Microbiological Body Mango Banana Thought provoking Fruity Sweet Herbs Calming Organic Psychedelic Hot Mint Sweat Aphrodisiac Bitter Tropical
387,Amnesia Haze,Spicy Head Meditativ Microbiological Body Pepper Sour Lemon Thought provoking Fruity Uplifting Herbs Sweet Calming Psychedelic Honey Citrus Activate Hashish Energetic
388,Northern Light,Bubble Gum Citrus Sour Body Appetizing Earth Spicy Hashish Relaxing Head Grapefruit Meditativ Sweet Microbiological Pain numbing Calming Sweet Lemon Couch Lock
389,Trance,Spicy Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Thought provoking Uplifting Sweet Calming Psychedelic Sleepy Pain numbing Aphrodisiac Bitter Activate Energetic
390,Peace Maker,Head Spacy / Confusedly Relaxing Body Narcotic Apricot Tree Sour Strawberry Dairy Thought provoking Fruity Sweet Appetizing Psychedelic Pain numbing Dizzy Citrus Orange Blossom Tropical Berry Orange Floral Nectar
391,Afgan Kush Ryder,Stress Spicy Head Meditativ Spacy / Confusedly Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Creeps Thought provoking Uplifting Calming Appetizing Psychedelic Light headed Sleepy Racy Pain numbing Dizzy Earth
392,Arjan's Haze #3,Jasmine Spicy Head Spacy / Confusedly Relaxing Microbiological Body Exhilarating Thought provoking Musky Fruity Uplifting Sweet Calming Appetizing Hot Aphrodisiac Activate Hashish Floral
393,Lemon Haze,Pepper Exhilarating Citrus Sour Activate Body Energetic Lemon Spicy Hot Head Thought provoking Orange Floral Sweet Herbs Calming Sweet Lemon
394,CBD Skunk Haze,Spicy Head Relaxing Microbiological Body Couch Lock Exhilarating Sour Thought provoking Pine Uplifting Sweet Calming Appetizing Sleepy Pain numbing Honey Citrus Activate Energetic
395,Purple Widow,Spicy Head Body Poison Exhilarating Thought provoking Fruity Uplifting Sweet Herbs Vinegar Organic Appetizing Fresh Nuts Light headed Medicine Bitter Activate Chemical Glue Diesel Nuts
396,Heavy Duty Fruity,Bubble Gum Head Spacy / Confusedly Relaxing Body Tangerine Narcotic Sour Fruity Sweet Calming Acidic Psychedelic Light headed Sweet Lemon Citrus Berry Orange Floral Nectar Energetic
397,Brooklyn Mango,Spicy Head Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Light headed Sleepy Honey Bitter Activate Hashish Chemical Diesel
398,Afgan Kush x Skunk,Couch Lock Narcotic Sour Psychedelic Spicy Hashish Light headed Head Thought provoking Fruity Meditativ Sweet Relaxing Spacy / Confusedly Calming Acidic Body Bitter
399,P91,Spicy Head Meditativ Relaxing Microbiological Body Peanut Pepper Narcotic Thought provoking Herbs Appetizing Fennel Psychedelic Sleepy Rosted Nuts Bitter Leather Earth Nuts
400,Sour Cream,Couch Lock Exhilarating Body Sour Psychedelic Spicy Dairy Sleepy Head Chemical Pain numbing Sweet Diesel Sour Cream Calming Nuts Bitter
401,S.A.D. Sweet Afgani Delicious Auto,Spicy Head Spacy / Confusedly Relaxing Body Couch Lock Narcotic Sour Nervous / Fidgety Creeps Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Paranoia Racy Bitter Activate Energetic
402,Master Kush,Stress Spicy Head Meditativ Relaxing Microbiological Body Pepper Narcotic Nervous / Fidgety Pine Herbs Calming Appetizing Psychedelic Sleepy Pain numbing Wood Earth Hashish
403,Lebanese,Spicy Head Meditativ Relaxing Microbiological Body Couch Lock Pepper Peach Thought provoking Pine Fruity Sweet Herbs Grape Calming Sleepy Pain numbing Wood Earth Hashish Cedarwood
404,Snowbud,Spicy Head Spacy / Confusedly Microbiological Body Couch Lock Exhilarating Sour Nervous / Fidgety Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Paranoia Racy Pain numbing Dizzy Bitter Activate Energetic
405,Blue Velvet,Spicy Head Relaxing Microbiological Body Maple Pine Musky Uplifting Sweet Calming Psychedelic Salty Dizzy Wood Bitter Activate Earth Hashish Floral Licorice Energetic
406,Medicine Man,Spicy Head Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Sugar Uplifting Sweet Calming Appetizing Pain numbing Honey Wood Activate Earth Hashish
407,Afghani #1,Citrus Sour Psychedelic Narcotic Energetic Spicy Lemon Hashish Hot Head Pain numbing Spearmint Relaxing Sandalwood Body Couch Lock
408,White Indica,Spicy Head Spacy / Confusedly Microbiological Body Exhilarating Sour Nervous / Fidgety Musky Uplifting Herbs Acidic Appetizing Hot Mint Dizzy Lemon Grass Wood Citrus Activate Sage Energetic
409,Pakistan Chitral Kush,Exhilarating Body Earth Spicy Hashish Light headed Head Relaxing Sleepy Floral Fruity Meditativ Sweet Cherry Calming Microbiological Cherry Blossom
410,Diesel,Spicy Head Meditativ Spacy / Confusedly Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Sour Uplifting Sweet Calming Sleepy Dizzy Aphrodisiac Bitter Activate
411,Spacedawg,Uplifting Citrus Sour Lime Activate Energetic Appetizing Earth Lemon Head Sugar Thought provoking Fruity Sweet Microbiological Body
412,Bubble Kush Automatic,Bubble Gum Spicy Head Relaxing Body Couch Lock Exhilarating Sour Lemon Sweet Herbs Calming Appetizing Light headed Lemon Grass Sweet Lemon Aphrodisiac Citrus Activate Orange
413,KC 33 x Master Kush,Stress Spicy Head Body Couch Lock Narcotic Creeps Thought provoking Uplifting Sweet Psychedelic Hot Mint Light headed Paranoia Racy Sleepy Pain numbing Dizzy Activate Floral Energetic
414,MangoDog,Bubble Gum Spicy Head Meditativ Spacy / Confusedly Body Exhilarating Sour Fruity Uplifting Sweet Calming Appetizing Psychedelic Cookie Dough Pain numbing Bitter Activate Hashish Chemical
415,Diesel Matic,Bubble Gum Citrus Sour Psychedelic Earth Dairy Relaxing Head Sugar Thought provoking Spacy / Confusedly Sweet Microbiological Pain numbing Calming Body Wood Bitter
416,Purple Berry Kush,Couch Lock Uplifting Citrus Sour Spicy Sleepy Tropical Berry Head Orange Chemical Fruity Sweet Herbs Body Bitter
417,Tora Bora,Spicy Head Meditativ Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Thought provoking Pine Calming Appetizing Psychedelic Sleepy Pain numbing Sandalwood Aphrodisiac Earth Hashish Cedarwood Energetic
418,Hempstar,Couch Lock Uplifting Activate Sour Exhilarating Narcotic Appetizing Spicy Relaxing Head Thought provoking Sweet Microbiological Aphrodisiac Calming Body Bitter
419,Sage n Sour,Stress Spicy Head Meditativ Spacy / Confusedly Body Couch Lock Exhilarating Sour Thought provoking Calming Acidic Appetizing Psychedelic Hot Mint Paranoia Pain numbing Dizzy Aphrodisiac Activate Energetic
420,Silver Rocket,Spicy Head Meditativ Relaxing Body Couch Lock Exhilarating Fruity Uplifting Sweet Herbs Calming Appetizing Sleepy Aphrodisiac Bitter Activate Floral Energetic
421,Strawberry Amnesia,Couch Lock Bubble Gum Activate Sour Uplifting Exhilarating Narcotic Spicy Relaxing Sleepy Head Pain numbing Sweet Microbiological Calming Body Bitter
422,Honey B,Head Meditativ Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Sleepy Pain numbing Aphrodisiac Activate Floral Energetic
423,GrÃ¼ne Hessin,Head Spacy / Confusedly Relaxing Microbiological Body Couch Lock Exhilarating Sour Lemon Thought provoking Fruity Mold Sweet Calming Appetizing Psychedelic Paranoia Sleepy Citrus Activate Earth
424,Nevills Haze Hybrid,Lilac Exhilarating Activate Sour Psychedelic Couch Lock Nervous / Fidgety Energetic Spicy Head Racy Floral Fruity Spacy / Confusedly Sweet Calming Body Bitter
425,NLX,Couch Lock Exhilarating Activate Sour Narcotic Appetizing Spicy Sleepy Head Thought provoking Spacy / Confusedly Sweet Relaxing Pain numbing Calming Body Bitter
426,Mozambique Poison,Uplifting Organic Sour Activate Exhilarating Energetic Spicy Dairy Hot Chives Head Racy Thought provoking Spearmint Cheese Body Cucumber Bitter
427,Royal Caramel,Bubble Gum Activate Sour Uplifting Psychedelic Appetizing Earth Sleepy Head Thought provoking Fruity Pain numbing Sweet Microbiological Body Couch Lock
428,Easy Sativa,Lilac Head Grapefruit Body Exhilarating Sour Nervous / Fidgety Fruity Uplifting Sweet Aphrodisiac Bitter Citrus Activate Berry Chemical Floral Diesel Energetic
429,Blueberry Haze,Uplifting Activate Sour Exhilarating Energetic Appetizing Spicy Light headed Relaxing Head Pain numbing Sweet Microbiological Calming Body Bitter
430,The True OG,Exhilarating Lime Citrus Sour Psychedelic Body Energetic Appetizing Earth Light headed Relaxing Head Chemical Microbiological Diesel Calming Sweet Lemon Bitter
431,Maroc,Narcotic Sour Appetizing Earth Spicy Hashish Relaxing Head Sleepy Pine Meditativ Uplifting Microbiological Pain numbing Calming Body
432,Ganesh Spirit,Spicy Head Meditativ Relaxing Microbiological Body Couch Lock Sour Thought provoking Uplifting Calming Appetizing Psychedelic Paranoia Light headed Sleepy Dizzy Bitter Activate Earth Energetic
433,Dutch Cheese,Exhilarating Citrus Sour Narcotic Spicy Dairy Hashish Light headed Head Relaxing Sleepy Cheese Cedarwood Pain numbing Microbiological Calming Body Couch Lock
434,Riot's OG Kush,Uplifting Activate Appetizing Psychedelic Jasmine Relaxing Sleepy Head Thought provoking Floral Musky Nectar Sweet Microbiological Calming Body Wood Bitter
435,Blue Power,Exhilarating Narcotic Appetizing Psychedelic Leather Earth Spicy Dizzy Hashish Head Meditativ Sweet Microbiological Pain numbing Calming Body Wood Couch Lock
436,Vanilla Haze,Uplifting Activate Energetic Tropical Berry Head Floral Fruity Blueberry Sweet Cherry Body Vanilla
437,Phatt Fruity,Couch Lock Narcotic Earth Spicy Herbs Hashish Relaxing Head Sleepy Chemical Spacy / Confusedly Sweet Microbiological Pain numbing Calming Body Wood Bitter
438,Delahaze,Pineapple Head Body Mango Exhilarating Sour Thought provoking Fruity Sweet Kiwi Calming Appetizing Psychedelic Light headed Pain numbing Dizzy Sweet Lemon Citrus Activate Tropical Energetic
439,Moon Walker Kush,Couch Lock Lime Citrus Sour Narcotic Earth Spicy Relaxing Sleepy Head Medicine Chemical Charcoal Microbiological Lemon Grass Body Bitter
440,Original Swiss Erdbeerli,Uplifting Organic Activate Fennel Exhilarating Body Appetizing Strawberry Spicy Head Berry Fruity Sweet Herbs Calming Tee Bitter
441,Mk-Ultra,Spicy Head Relaxing Microbiological Body Couch Lock Exhilarating Narcotic Sour Lemon Thought provoking Pine Musky Uplifting Calming Sleepy Citrus Activate Earth Hashish Energetic
442,Pineapple Express,Pineapple Head Microbiological Body Mango Sour Rot Lemon Sugar Thought provoking Musky Fruity Uplifting Sweet Calming Appetizing Racy Citrus Activate Tropical Energetic
443,Silver Pearl,Activate Energetic Psychedelic Cookie Dough Spicy Sleepy Sage Tropical Head Floral Fruity Sweet Herbs Body
444,Kritikal-K,Couch Lock Exhilarating Body Appetizing Hot Spicy Hashish Relaxing Head Sleepy Thought provoking Meditativ Uplifting Herbs Calming Microbiological Aphrodisiac
445,Blue Hash,Spicy Head Blueberry Body Exhilarating Fruity Uplifting Passion Fruit Sweet Calming Appetizing Light headed Cherry Blossom Aphrodisiac Activate Hashish Tropical Berry Blackberry Floral Energetic
446,Dutch Haze,Pineapple Head Spacy / Confusedly Body Narcotic Sour Nervous / Fidgety Thought provoking Fruity Uplifting Sweet Calming Acidic Appetizing Psychedelic Sweet Lemon Aphrodisiac Citrus Activate Tropical Energetic
447,Auto Northern Lights,Organic Sour Spicy Dairy Honey Floral Fruity Pine Sweet Coffee Sour Cream Cocoa Bitter
448,Acapulco Gold,Spicy Head Spacy / Confusedly Relaxing Microbiological Body Exhilarating Sugar Musky Uplifting Sweet Calming Psychedelic Sandalwood Aphrodisiac Activate Earth Floral Nectar
449,Actual Sativa,Spicy Head Meditativ Spacy / Confusedly Relaxing Body Exhilarating Nervous / Fidgety Thought provoking Uplifting Sweet Calming Appetizing Psychedelic Hot Dizzy Aphrodisiac Activate Energetic
450,Original Amnesia,Head Meditativ Body Couch Lock Mango Exhilarating Narcotic Sour Lemon Thought provoking Fruity Sweet Calming Appetizing Psychedelic Sleepy Citrus Tropical Orange Blood Orange Energetic
451,Shackzilla,Narcotic Sour Psychedelic Earth Spicy Hashish Relaxing Head Thought provoking Pine Spacy / Confusedly Uplifting Microbiological Pain numbing Calming Sandalwood Body Wood
452,Double Fun,Citrus Sour Activate Psychedelic Spicy Lemon Hot Mint Hashish Head Paranoia Sleepy Pain numbing Body
453,Critical Kush,Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Exhilarating Narcotic Thought provoking Uplifting Calming Appetizing Psychedelic Light headed Sleepy Pain numbing Dizzy Aphrodisiac Activate Energetic
454,Guerrillas Gusto,Pepper Poison Couch Lock Sour Narcotic Spicy Hot Mint Sleepy Chemical Herbs Sandalwood Body Bitter
455,Afghan,Spicy Head Relaxing Microbiological Body Exhilarating Narcotic Nervous / Fidgety Thought provoking Musky Uplifting Sweet Calming Light headed Sleepy Dizzy Wood Activate Leather Earth
456,Original Misty,Lilac Narcotic Herbs Spicy Sleepy Head Berry Floral Fruity Nectar Sweet Blueberry Calming Body
457,White Dragon,Spicy Head Meditativ Relaxing Body Couch Lock Pepper Sour Nervous / Fidgety Lemon Thought provoking Fruity Sweet Herbs Calming Appetizing Pain numbing Citrus Hashish
458,Emmentaler,Uplifting Activate Exhilarating Energetic Nervous / Fidgety Strawberry Light headed Head Berry Floral Fruity Nectar Sweet Relaxing Spacy / Confusedly Body
459,K2,Activate Stress Psychedelic Narcotic Energetic Creeps Dizzy Spicy Paranoia Light headed Sleepy Head Thought provoking Pain numbing Uplifting Sweet Body Couch Lock
460,Ortega Indica,Couch Lock Exhilarating Narcotic Earth Spicy Relaxing Sleepy Head Meditativ Sweet Microbiological Pain numbing Aphrodisiac Calming Sandalwood Body Bitter
461,Caesus,Body Sour Earth Spicy Dairy Head Floral Cheese Sweet Butter Microbiological Vanilla Bitter
462,Blessings OG,Uplifting Citrus Sour Lime Cookie Dough Activate Energetic Appetizing Lemon Dairy Head Calming Honey Relaxing Sweet Lemon Grass Body Bitter
463,Orange Hill Special,Spicy Head Relaxing Body Couch Lock Tangerine Exhilarating Narcotic Sour Sweet Calming Appetizing Sleepy Orange Blossom Hashish Orange Floral Blood Orange Nectar Vanilla
464,Malawi Gold,Citrus Sour Psychedelic Microbiological Earth Spicy Light headed Head Cedarwood Uplifting Herbs Thyme
465,Amnesia G13,Uplifting Citrus Sour Psychedelic Stress Spicy Lemon Paranoia Sleepy Tropical Head Fruity Sweet Microbiological Sweat Body
466,Amherst Sour Diesel,Citrus Sour Organic Earth Lemon Dairy Chemical Cheese Butter Diesel Coffee Lemon Grass Acidic Microbiological Wood Bitter
467,No Name,Head Meditativ Relaxing Microbiological Body Exhilarating Narcotic Calming Appetizing Light headed Sleepy Pain numbing Aphrodisiac Alcohol Bitter Activate Chemical Diesel Energetic
468,Caribe,Uplifting Citrus Sour Activate Exhilarating Body Lemon Spicy Relaxing Head Floral Sweet Microbiological Calming Sweet Lemon Aphrodisiac
469,White Widow Automatic,Couch Lock Uplifting Activate Sour Energetic Appetizing Spicy Sleepy Head Thought provoking Meditativ Sweet Relaxing Pain numbing Body Bitter
470,Blueberry Sativa,Uplifting Activate Sour Energetic Spicy Tropical Berry Head Floral Fruity Meditativ Sweet Relaxing Calming Body
471,Fruity Chronic Juice,Activate Sour Narcotic Appetizing Dizzy Light headed Relaxing Head Sleepy Thought provoking Meditativ Sweet Microbiological Spacy / Confusedly Pain numbing Calming Body Couch Lock
472,Chrystal,Couch Lock Narcotic Energetic Dizzy Spicy Hashish Light headed Head Sleepy Thought provoking Pain numbing Uplifting Microbiological Body Wood Aphrodisiac
473,Red Purps,Uplifting Activate Energetic Appetizing Strawberry Raspberry Tropical Berry Passion Fruit Head Thought provoking Floral Fruity Spacy / Confusedly Sweet Relaxing Calming Body
474,Black Widow,Organic Garlic Activate Psychedelic Rot Nervous / Fidgety Energetic Appetizing Spicy Head Racy Spacy / Confusedly Sweet Microbiological Calming Body Bitter
475,Caramelo,Spicy Head Meditativ Relaxing Body Exhilarating Fruity Uplifting Sweet Calming Psychedelic Light headed Sleepy Pain numbing Activate Berry Blackberry Floral Energetic
476,Extrema,Head Meditativ Microbiological Body Couch Lock Exhilarating Narcotic Creeps Sugar Thought provoking Sweet Calming Appetizing Psychedelic Paranoia Sleepy Pain numbing Wood Leather Earth
477,Critical+ Automatic,Body Narcotic Earth Spicy Hot Hashish Herbs Head Relaxing Sugar Fruity Meditativ Sweet Microbiological Calming Nuts Bitter
478,Zeppelin,Exhilarating Activate Energetic Appetizing Nervous / Fidgety Earth Spicy Hashish Head Musky Meditativ Microbiological Aphrodisiac Sandalwood Body Wood Bitter
479,Misty,Head Meditativ Relaxing Body Couch Lock Exhilarating Narcotic Thought provoking Uplifting Calming Appetizing Psychedelic Sleepy Racy Pain numbing Dizzy Aphrodisiac Activate Energetic
480,White Domina,Narcotic Appetizing Spicy Hashish Sleepy Head Fruity Cedarwood Honey Relaxing Sweet Meditativ Pain numbing Sandalwood Body Couch Lock
481,Ice Wreck,Exhilarating Soy Sauce Organic Garlic Activate Rot Hot Spicy Light headed Head Musky Microbiological Onion Wood Bitter
482,Purple Star,Couch Lock Narcotic Spicy Hashish Sleepy Head Thought provoking Chemical Pain numbing Diesel Sandalwood Body Bitter
483,Royal Creamatic,Bubble Gum Citrus Pineapple Sour Exhilarating Psychedelic Lemon Spicy Hashish Tropical Head Pine Fruity Spacy / Confusedly Sweet Calming Body Couch Lock
484,Malawi,Spicy Head Meditativ Spacy / Confusedly Relaxing Body Couch Lock Nervous / Fidgety Pine Fruity Sweet Calming Psychedelic Paranoia Sleepy Pain numbing Dizzy Sandalwood Floral
485,Snow Ryder,Couch Lock Exhilarating Activate Appetizing Spicy Sleepy Head Berry Floral Fruity Nectar Sweet Relaxing Calming Body Aphrodisiac
486,Iranian G13,Organic Sour Earth Spicy Hashish Light headed Head Musky Spacy / Confusedly Dizzy Microbiological Calming Acidic Body Bitter
487,Lemon Thai,Pepper Exhilarating Citrus Sour Lime Activate Spicy Ginger Hashish Lemon Head Uplifting Herbs Lemon Grass
488,S.A.G.E.,Exhilarating Narcotic Psychedelic Spicy Hashish Light headed Head Relaxing Floral Pain numbing Sweet Microbiological Calming Sandalwood Body Couch Lock
489,Erdbeer x Sweet Pink Grapefruit,Tangerine Citrus Sour Strawberry Marshmallow Spicy Hashish Berry Orange Fruity Grapefruit Sweet
490,Bella Donna,Exhilarating Activate Narcotic Psychedelic Cookie Dough Energetic Appetizing Head Berry Blackberry Thought provoking Blueberry Fruity Sweet Microbiological Calming Body
491,Critical,Tangerine Bubble Gum Citrus Sour Narcotic Sleepy Head Orange Meditativ Sweet Relaxing Calming Body Aphrodisiac
492,Pandora,Earth Spicy Herbs Hashish Relaxing Head Berry Floral Fruity Musky Sweet Microbiological Pine Spacy / Confusedly Body
493,Green Rasta,Head Body Exhilarating Sour Nervous / Fidgety Fruity Uplifting Passion Fruit Sweet Calming Organic Bitter Activate Orange Blossom Tropical Tee Orange Floral Energetic
494,Passion #1,Exhilarating Citrus Sour Psychedelic Nervous / Fidgety Appetizing Herbs Spicy Earth Head Thought provoking Spacy / Confusedly Dizzy Microbiological Calming Body Couch Lock
495,Power Kush,Spicy Head Meditativ Relaxing Body Couch Lock Lime Sour Maple Thought provoking Pine Uplifting Calming Appetizing Sleepy Racy Pain numbing Lemon Grass Citrus
496,Scott's OG,Head Spacy / Confusedly Microbiological Body Couch Lock Exhilarating Narcotic Sour Chocolate Thought provoking Musky Uplifting Sweet Calming Acidic Light headed Pain numbing Dizzy Bitter
497,Lucid Bolt,Lime Citrus Sour Rot Orange Blossom Earth Lemon Medicine Orange Floral Blood Orange Chemical Sweet Microbiological Bitter
498,Hawaii x Maui Waui,Citrus Sour Activate Psychedelic Narcotic Nervous / Fidgety Energetic Lemon Paranoia Tropical Head Thought provoking Fruity Spacy / Confusedly Sweet Body
499,Blue Mystic Automatic,Head Blueberry Relaxing Microbiological Body Narcotic Thought provoking Musky Fruity Sweet Calming Psychedelic Sleepy Racy Pain numbing Dizzy Aphrodisiac Earth Berry
