,name,keywords
11,Wappa,Lilac Bubble Gum Jasmine Spicy Head Blueberry Grapefruit Meditativ Spearmint Cheese Microbiological Relaxing Spacy / Confusedly Body Cucumber Soda Couch Lock Exhilarating Lime Apricot Tree Sour Narcotic Nervous / Fidgety Strawberry Peach Maple Lemon Dairy Thought provoking Musky Fruity Sweet Herbs Uplifting Calming Acidic Organic Energetic Fennel Appetizing Raspberry Hot Mint Fresh Nuts Sleepy Pain numbing Hazelnut Dizzy Sandalwood Sweet Lemon Cherry Blossom Bitter Wood Aphrodisiac Citrus Activate Earth Walnut Tropical Berry Blackberry Chives Tee Floral Nectar Hot Milk Nuts Apricot
12,Super Lemon Haze,Bubble Gum Spicy Head Meditativ Violet Relaxing Spacy / Confusedly Body Couch Lock Pepper Exhilarating Narcotic Sour Nervous / Fidgety Creeps Lemon Dairy Sugar Thought provoking Pine Fruity Passion Fruit Sweet Herbs Uplifting Calming Acidic Appetizing Fennel Psychedelic Tar Light headed Paranoia Racy Sleepy Pain numbing Dizzy Sandalwood Sweet Lemon Bitter Aphrodisiac Citrus Activate Hashish Tropical Chemical Floral Glue Cedarwood Energetic Vanilla
13,Critical+,Soy Sauce Stress Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Energetic Couch Lock Pepper Exhilarating Narcotic Sour Creeps Lemon Sugar Thought provoking Pine Fruity Macadamia Sweet Herbs Uplifting Calming Appetizing Psychedelic Cookie Dough Hot Fresh Nuts Light headed Paranoia Sleepy Medicine Pain numbing Hazelnut Dizzy Lemon Grass Sandalwood Sweet Lemon Bitter Citrus Activate Orange Blossom Earth Mustard Hashish Sage Orange Floral Blood Orange Nectar Chemical Glue Cedarwood Nuts Apricot
14,Ambulance,Jasmine Spicy Cloves Head Blueberry Grapefruit Meditativ Cheese Microbiological Relaxing Thyme Body Couch Lock Mango Tangerine Lime Sour Saffron Narcotic Rot Creeps Strawberry Dairy Fruity Sweet Butter Herbs Kiwi Uplifting Acidic Calming Organic Sleepy Medicine Pain numbing Sweat Sandalwood Cherry Blossom Bitter Cocoa Citrus Orange Blossom Earth Hashish Sage Tropical Berry Orange Floral Chemical Nectar Blood Orange Coffee Diesel
15,Ganesh,Spicy Head Meditativ Cheese Microbiological Relaxing Body Couch Lock Tangerine Exhilarating Lime Sour Narcotic Peach Lemon Dairy Chocolate Sugar Thought provoking Fruity Sweet Herbs Uplifting Calming Acidic Organic Appetizing Psychedelic Hot Tar Light headed Sleepy Pain numbing Honey Dizzy Sweet Lemon Cocoa Bitter Wood Aphrodisiac Citrus Activate Earth Butterscotch Hashish Orange Floral Chemical Coffee Diesel Energetic Apricot
16,Amnesia Lemon,Bubble Gum Spicy Coughsyrup Head Meditativ Microbiological Peanut Body Couch Lock Poison Exhilarating Lime Apricot Tree Sour Narcotic Energetic Creeps Strawberry Peach Lemon Sugar Musky Fruity Sweet Herbs Grape Calming Acidic Organic Psychedelic Cookie Dough Ginger Paranoia Sleepy Racy Medicine Rosted Nuts Pain numbing Honey Sandalwood Sweet Lemon Cocoa Bitter Alcohol Aphrodisiac Citrus Activate Orange Blossom Marshmallow Earth Butterscotch Hashish Berry Chemical Floral Glue Nectar Coffee Diesel Licorice Nuts Apricot
17,White Russian,Stress Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Energetic Couch Lock Pepper Exhilarating Narcotic Apricot Tree Sour Nervous / Fidgety Creeps Peach Lemon Dairy Sugar Thought provoking Fruity Sweet Herbs Uplifting Sour Cream Calming Acidic Appetizing Psychedelic Fresh Nuts Light headed Paranoia Racy Sleepy Pain numbing Dizzy Bitter Aphrodisiac Citrus Activate Earth Hashish Tropical Berry Orange Floral Blood Orange Nectar Cherry Nuts Apricot
18,Kalashnikova,Cinnamon Spicy Cloves Head Grapefruit Meditativ Microbiological Thyme Body Couch Lock Mango Exhilarating Narcotic Sour Energetic Lemon Thought provoking Musky Fruity Pine Sweet Herbs Uplifting Calming Appetizing Fennel Psychedelic Ginger Paranoia Light headed Sleepy Racy Pain numbing Honey Sweat Sandalwood Wood Bitter Citrus Activate Earth Hashish Sage Tropical Cedarwood Nuts
19,Blue Cheese,Lilac Bubble Gum Spicy Head Blueberry Meditativ Cheese Microbiological Relaxing Body Couch Lock Narcotic Sour Rot Creeps Strawberry Lemon Dairy Thought provoking Pine Fruity Musky Sweet Butter Mold Sour Cream Uplifting Calming Appetizing Psychedelic Cookie Dough Raspberry Tar Paranoia Sleepy Pain numbing Wood Bitter Aphrodisiac Citrus Activate Earth Hashish Berry Blackberry Chemical Floral Hot Milk Vanilla
20,AK47,Bubble Gum Stress Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Tangerine Exhilarating Lime Sour Apricot Tree Narcotic Nervous / Fidgety Creeps Lemon Sugar Thought provoking Pine Fruity Sweet Herbs Uplifting Calming Acidic Appetizing Psychedelic Cookie Dough Paranoia Light headed Sleepy Racy Pain numbing Dizzy Sweat Lemon Grass Sweet Lemon Wood Bitter Aphrodisiac Citrus Activate Earth Tropical Berry Orange Floral Blood Orange Cherry Energetic
21,Sadhu,Coconut Spicy Head Blueberry Microbiological Relaxing Thyme Body Couch Lock Pepper Exhilarating Narcotic Sour Nervous / Fidgety Lemon Parsley Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Acidic Appetizing Fennel Cookie Dough Psychedelic Hot Paranoia Sleepy Racy Pain numbing Honey Sandalwood Sweet Lemon Wood Citrus Activate Earth Hashish Sage Tropical Berry Floral Cedarwood Energetic
22,Blueberry,Spicy Head Blueberry Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Creeps Strawberry Dairy Pine Fruity Sweet Herbs Uplifting Sour Cream Calming Acidic Appetizing Psychedelic Raspberry Hot Mint Light headed Sleepy Pain numbing Sweet Lemon Aphrodisiac Citrus Activate Earth Tropical Berry Blackberry Orange Floral Cantaloupe Cedarwood Energetic Vanilla
23,OG Kush,Jasmine Spicy Head Meditativ Violet Microbiological Relaxing Spacy / Confusedly Body Energetic Couch Lock Pepper Exhilarating Narcotic Sour Nervous / Fidgety Apple Lemon Tobacco Sugar Thought provoking Musky Fruity Pine Sweet Herbs Uplifting Calming Organic Appetizing Psychedelic Cookie Dough Hot Mint Light headed Rose Racy Pain numbing Honey Dizzy Sandalwood Wood Bitter Citrus Activate Leather Earth Hashish Sage Tropical Floral Nectar Cedarwood Tee Apricot
24,Frisian Dew,Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Sour Rot Creeps Maple Tobacco Thought provoking Pine Musky Fruity Sweet Herbs Uplifting Calming Peanutbutter Organic Appetizing Psychedelic Hot Mint Light headed Paranoia Racy Sleepy Pain numbing Dizzy Sandalwood Bitter Aphrodisiac Citrus Activate Earth Hashish Tropical Chemical Floral Cedarwood Energetic
25,Nebula,Stress Pineapple Spicy Head Spacy / Confusedly Microbiological Relaxing Body Couch Lock Tangerine Exhilarating Lime Sour Narcotic Nervous / Fidgety Creeps Lemon Banana Thought provoking Pine Fruity Sweet Uplifting Calming Appetizing Psychedelic Hot Mint Light headed Paranoia Racy Sleepy Pain numbing Dizzy Sandalwood Sweet Lemon Wood Aphrodisiac Citrus Activate Orange Blossom Earth Tropical Orange Floral Energetic
26,Blue Blood,Spicy Head Blueberry Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Sour Lemon Sugar Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Acidic Organic Appetizing Psychedelic Light headed Sleepy Racy Pain numbing Dizzy Wood Bitter Citrus Activate Leather Earth Berry Glue Orange Floral Cedarwood Chemical
27,Blue Dream,Stress Spicy Head Blueberry Grapefruit Meditativ Spacy / Confusedly Relaxing Body Couch Lock Pepper Exhilarating Lime Apricot Tree Sour Narcotic Nervous / Fidgety Thought provoking Pine Fruity Sweet Herbs Passion Fruit Uplifting Calming Organic Appetizing Psychedelic Raspberry Hot Light headed Paranoia Sleepy Pain numbing Sweet Lemon Bitter Cranberry Aphrodisiac Citrus Activate Hashish Tropical Berry Blackberry Floral Energetic
28,Orange Bud,Spicy Cloves Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Pepper Mango Lime Sour Tangerine Exhilarating Rot Narcotic Peach Lemon Thought provoking Fruity Sweet Herbs Uplifting Calming Appetizing Psychedelic Hot Mint Sleepy Racy Pain numbing Dizzy Sandalwood Bitter Aphrodisiac Citrus Activate Orange Blossom Earth Tropical Orange Floral Blood Orange Nectar Energetic Apricot
29,PPP,Stress Spicy Head Spacy / Confusedly Microbiological Relaxing Body Energetic Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Creeps Lemon Thought provoking Pine Musky Fruity Sweet Herbs Uplifting Calming Organic Appetizing Psychedelic Fresh Nuts Light headed Paranoia Racy Sleepy Rosted Nuts Pain numbing Dizzy Sweat Sandalwood Wood Bitter Aphrodisiac Citrus Activate Earth Hashish Tropical Chemical Floral Orange Nectar Cedarwood Diesel Nuts
30,Skunk #1,Jasmine Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Mango Exhilarating Narcotic Sour Rot Lemon Dairy Sugar Thought provoking Musky Fruity Passion Fruit Sweet Uplifting Calming Acidic Appetizing Psychedelic Paranoia Light headed Sleepy Racy Pain numbing Dizzy Sweet Lemon Wood Bitter Aphrodisiac Citrus Activate Orange Blossom Earth Tropical Orange Floral Blood Orange Nectar Cedarwood Energetic
31,Delicious Candy,Spicy Head Meditativ Microbiological Relaxing Body Couch Lock Narcotic Sour Metal Lemon Dairy Sugar Thought provoking Pine Fruity Musky Sweet Herbs Grape Calming Acidic Vinegar Organic Appetizing Psychedelic Hot Tar Sleepy Pain numbing Lemon Grass Sandalwood Wood Bitter Aphrodisiac Citrus Activate Earth Chemical Floral Cedarwood
32,Critical Mass,Spicy Head Meditativ Microbiological Relaxing Body Couch Lock Poison Exhilarating Lime Sour Narcotic Nervous / Fidgety Creeps Peach Apple Lemon Sugar Thought provoking Fruity Sweet Herbs Uplifting Calming Acidic Vinegar Organic Appetizing Psychedelic Light headed Sleepy Rose Pain numbing Lemon Grass Sandalwood Wood Bitter Aphrodisiac Citrus Activate Orange Blossom Earth Hashish Chemical Floral Nectar Diesel Energetic
33,New York Power Diesel,Spicy Dill Basilicum Head Grapefruit Spacy / Confusedly Microbiological Body Tangerine Poison Sour Lemon Parsley Thought provoking Pine Fruity Musky Sweet Herbs Grape Uplifting Acidic Organic Appetizing Psychedelic Light headed Racy Pain numbing Dizzy Sandalwood Bitter Citrus Activate Leather Orange Blossom Earth Hashish Tropical Berry Tee Chemical Floral Orange Blood Orange Glue Diesel Nuts
34,Satori,Bubble Gum Stress Spicy Head Meditativ Spearmint Microbiological Spacy / Confusedly Body Couch Lock Tangerine Pepper Lime Sour Exhilarating Narcotic Nervous / Fidgety Creeps Lemon Dairy Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Sour Cream Calming Acidic Organic Appetizing Psychedelic Hot Mint Light headed Paranoia Racy Pain numbing Dizzy Lemon Grass Sweet Lemon Wood Bitter Aphrodisiac Citrus Activate Orange Blossom Earth Tropical Orange Floral Energetic
35,Cotton Candy,Bubble Gum Spicy Head Grapefruit Spacy / Confusedly Spearmint Microbiological Relaxing Body Cucumber Couch Lock Tangerine Exhilarating Lime Apricot Tree Sour Nervous / Fidgety Lemon Thought provoking Fruity Sweet Herbs Uplifting Calming Organic Psychedelic Hot Tar Mint Ginger Rose Pain numbing Honey Sweet Lemon Bitter Aphrodisiac Citrus Activate Orange Blossom Marshmallow Earth Butterscotch Orange Floral Blood Orange Nectar Chemical Licorice Energetic
36,Dutch Dragon,Lilac Bubble Gum Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Thyme Body Soda Tangerine Exhilarating Lime Sour Couch Lock Narcotic Strawberry Lemon Parsley Thought provoking Fruity Sweet Herbs Uplifting Calming Appetizing Fennel Psychedelic Hot Mint Light headed Sleepy Pain numbing Bitter Aphrodisiac Citrus Activate Leather Orange Blossom Earth Berry Orange Floral Blood Orange Nectar Energetic Vanilla
37,OG Kush,Spicy Head Meditativ Microbiological Relaxing Body Couch Lock Mango Lime Sour Narcotic Maple Lemon Thought provoking Pine Fruity Passion Fruit Sweet Uplifting Calming Acidic Appetizing Psychedelic Hot Light headed Sleepy Pain numbing Dizzy Sandalwood Sweet Lemon Bitter Aphrodisiac Citrus Activate Earth Hashish Tropical Chemical Cedarwood Diesel Energetic
